,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
449,M,B,188,138,134,136,102,101,64,47,28,35,BM
450,M,B,189,134,136,140,103,105,77,54,26,37,BM
451,M,B,187,131,125,135,95,101,62,45,26,34,BM
85,M,Bahutu,180,142,139,128,102,110,71.2,46.9,27.2,34.6,BHM
86,M,Bahutu,189,143,140,122,103,107.4,76.6,51.9,27.6,32.9,BHM
87,M,Bahutu,181,131,129,134,101,103.0668546,67.05892543,47.80656452,27,34,BHM
88,M,Bahutu,186,132.5,143.5,132,101,107.6,62.9,45.8,26.9,34,BHM
89,M,Bahutu,183.5,131.5,134.5498849,121,100,103.1467094,68.74875322,49.18728186,27.59819947,35.04334789,BHM
90,M,Bahutu,183,131,137,113,96,103.4,62.8,48.9,31.3,35.3,BHM
91,M,Bahutu,187,134,139,133,101,105.4,77.5,51.7,28.3,35,BHM
92,M,Bahutu,183.5,132,135,121,102,112.2,75.1,51.9,28.8,37.7,BHM
93,M,Bahutu,195,144,138.0431242,130,97,100,73.3,51.7,28.6,34.9,BHM
94,M,Bahutu,186.5,136,134.1600719,127.1041931,100.6114849,103.4161279,68.9,47.8,26.5,34.7597075,BHM
95,M,Bahutu,191,135,137.395184,128.3673369,103.7003425,106.0630711,71.11613171,50.36090088,28.09722428,35.39660438,BHM
96,M,Bahutu,182,138,137,115,96,97.5,68.5,49.4,27.5,36.1,BHM
97,M,Bahutu,183,134,135,127,99,104.1,60.3,43.7,28,32.6,BHM
98,M,Bahutu,187,134,132,123,93,99.9,72.9,51.5,23.4,35.9,BHM
99,M,Bahutu,187,140,127,134,100.5,96.8,67.6,49.8,25.7,34.6,BHM
100,M,Bahutu,179.5,131,128.6968542,128.3811225,98,101.5875206,66.91232313,47.25806936,26.53116346,34.55168931,BHM
101,M,Bahutu,189,137.5,137.3745595,126,103,105.3487507,70.86956629,49.65098818,27.51425986,35.07829179,BHM
102,M,Bahutu,187,130,135.4522916,131.1851988,102.5117903,105.4460635,69.64686619,50.40211923,29.3,35.53579661,BHM
103,M,Bahutu,180,136,136,122,91.5,91.6,72.8,52.1,24.2,33.1,BHM
104,M,Bahutu,182,137.5,133.5,115,94,96.4,70.4,52.1,26.6,34.1,BHM
105,M,Bahutu,192,138,135.8145079,131,100,103.5650225,71.23979568,49.78366191,28.044001,35.64721373,BHM
106,M,Bahutu,184,130,132.1442977,120,100,101,70,50.1,26.4,37.5,BHM
107,M,Bahutu,186,134,135.2901378,138,103.5,96,71.4,54.6,28.6,39,BHM
108,M,Bahutu,175,134,137,128.5,94,97,65,46.6,27,34.5,BHM
109,M,Bahutu,183.5,134.5,133.1345527,132,98,101.9290389,68.84160815,48.70326051,28.38932852,35.35537783,BHM
110,M,Bahutu,191,135,137,126,102,105.4,66,47.4,28.4,35.3,BHM
111,M,Bahutu,186,133.5,120,132.0697694,96.62742395,99.45103788,66,48.3,30,34.5,BHM
112,M,Bahutu,167,130,126,125,99,94,62,44.7,26.2,32.4,BHM
113,M,Bahutu,182,138,135,134,103,99.2,73.1,52.1,25.6,34.6,BHM
114,M,Bahutu,185,133,137,130.5,102,107.1,77.4,52.4,26.1,34.5,BHM
115,M,Bahutu,187,133.5,134,120,95,97.7,61.7,44.5,25.1,33.1,BHM
116,M,Bahutu,186,140,139.8248018,123,106,112.9,71,48.5,29.4,36.6,BHM
117,M,Bahutu,185,135.5,133.435575,129.6843291,100.0534931,102.9454094,69.13092008,48.87997022,27.33268193,35.09527987,BHM
118,M,Bahutu,187,132,130.864156,131.4114474,100.6628775,102.2388297,66.9,48.6,25.4,35.3,BHM
119,M,Bahutu,178.5,127,122,128,101,97.8,63.3,43.5,27,34.1,BHM
120,M,Bahutu,186,132,132.5446444,129.3020766,100.0701908,105.5252131,68,45.5,28,32.9,BHM
121,M,Bahutu,180.5,130,124.5951046,133,95,90.5,71.9,47,26.4,37.7,BHM
28,M,Basuku,174,127,126,135,100,105.8,65.5,45.5,27.4,28,BSM
29,M,Basuku,179.5868364,130.2099508,128.6602709,128.5925694,97.99627209,100.0299736,64.65746024,47.12331817,27.79077668,33.36680573,BSM
30,M,Basuku,173,133,130,133,94,97.8656176,62.51747712,44.94965331,26.87692823,31.6,BSM
31,M,Basuku,182,136,124,136,101,107.6,60,42.4,28.9,29.7,BSM
32,M,Basuku,182,130,122,132,95,98.6,66.3,49.5,27,32.2,BSM
33,M,Basuku,165,129,132,120,94,101.5,60.5,44.8,26.3,31.8,BSM
34,M,Basuku,182,137,129,130,99,100.8,65.1,47.3,27.2,34.5,BSM
35,M,Basuku,177,126,130,133,97,108.7,61.3,42.8,27.2,31.3,BSM
36,M,Basuku,168,125,117,122,89,89,54,41.4,24.3,34.1,BSM
37,M,Basuku,171,121,118.659702,127,93,95.7,64.3,44.2,27.4,33.8,BSM
38,M,Basuku,174,122,115,133,92,96.7,63.8,46.4,25.6,32.4,BSM
39,M,Basuku,181,133,129,133.5,96,108.6,65.1,44.8,31.1,32.2,BSM
40,M,Basuku,185,130,129,130,95,100,63,48.4,27.4,33.4,BSM
41,M,Basuku,176.3159339,129.1886765,123.7770447,128.7633083,94.06254096,97.24284436,56,41.2,26.6,30.8,BSM
42,M,Basuku,179,124,121,126,98,105.8,68.6,45.3,24.7,32.2,BSM
43,M,Basuku,182,124,122,130,98,97.1,54.6,45.5,28.2,30.6,BSM
44,M,Basuku,185,129,127,126,97,98.2,63.4,45.7,25.8,33.2,BSM
45,M,Basuku,182.4838798,132.2745565,129.0306797,130.5646748,98.61458969,100.6412289,65.54099669,47.31817615,27.67293479,33.50187761,BSM
46,M,Basuku,173,130,121,134,95,91.7,53.4,41.7,24.2,29.8,BSM
47,M,Basuku,182,131,133,135,100,108.9,66.8,50,32.4,31.4,BSM
48,M,Basuku,175,127,129.8680472,138,100,101.8274269,64.27517757,47.77052317,30.02970261,33.73266384,BSM
49,M,Basuku,186,138,134.8395372,131,104,103.8991722,67.28149699,47.71449598,26,32.7,BSM
50,M,Basuku,184,134,122,135,93,97,67.4,44.1,25.1,35,BSM
51,M,Basuku,183,129,124,131,103,101.9,66,46.7,24.1,35,BSM
52,M,Basuku,185,134,126,137,97,99.9841107,63.24228821,44.9,26.9,32.3,BSM
53,M,Basuku,175,135,118,139,95,96,62,45.4,27.7,33.7,BSM
54,M,Basuku,183,125,127,132.8076497,99.8699208,101.508844,64.6,47.8,25.8,32.9,BSM
55,M,Basuku,180,132,127,130,93,95.4,63,44.2,24.7,32.1,BSM
