cat_num,h_msb,f_msb
649,12.26,15.66
650,15.18,17.69
654,15.45,19.66
655,14.5,17.08
659,16.61,20.06
660,14.63,17.47
662,12.97,16.38
663,14.22,18.05
665,14.24,22.37
666,17.75,21.21
668,16.92,21.83
669,13.59,18.26
671,12.96,16.05
672,14.75,18.99
673,15.17,19.51
674,13.78,19.13
676,10.8,13.71
680,14.93,20.62
681,14.73,20.7
684,15.36,22.83
686,15.87,22.43
688,15.18,20.79
689,16.24,25.53
691,13.94,19.75
695,13.66,16.71
696,20.46,24.46
698,15.27,20.17
699,15.3,18.94
701,16.26,20.35
703,15.52,19.4
705,14.11,19.37
707,13.15,15.59
710,15.06,19.09
713,14.86,21.42
714,16.13,18.87
716,15.39,18.23
719,13.77,15.73
721,16.2,19.33
724,13.5,17.06
728,16.13,21.61
729,17.26,20.86
734,14.81,17.68
735,15.94,22.78
736,15.72,18.57
737,18.27,23.57
739,15.75,18.38
741,13.2,17.08
742,13.19,18.83
745,16.88,25.48
750,14.56,18.86
751,15.15,18.34
753,16.2,20.55
754,13.65,17.58
755,16.17,20.58
756,14.63,18.7
757,14.86,18.48
758,16.9,24.64
760,10.61,11.89
761,12.88,14.37
762,12.14,14.87
764,12.53,17.27
767,11.63,13.45
768,11.17,12.95
770,16.27,20.62
771,15.56,19
773,14.04,16.83
774,11.53,14.14
775,17.53,23.51
776,18.5,22.76
779,17.82,25
781,13.66,18.93
782,13.35,14.17
784,12.04,15.93
785,11.94,15.29
786,15.26,17.41
788,14.8,19.32
790,13.08,17.64
791,14.77,22.68
795,12.2,14.49
798,20.62,26.89
799,14.62,19.23
800,16.48,20.57
801,12.57,17.59
802,12.95,13.96
804,21.75,29.69
807,15.35,20.55
808,12.9,15.73
809,13.4,18.04
810,14.58,16.71
811,14.52,18.85
812,14.42,21.66
814,13.86,22.44
818,15.07,21.21
820,12.8,16.45
822,18.03,21.91
823,15.2,22.71
824,20.09,21.62
825,14.25,17.21
826,12.32,15.61
827,11.67,14.81
829,14.27,16.91
830,13.51,18.41
833,14.13,16.51
834,18.25,20.16
835,16.08,19.34
838,11.83,13.93
840,12.38,13
841,19.29,23.7
843,18.08,22.99
844,12.91,19.15
845,16.78,23.24
846,12.44,15.65
848,15.75,18.3
849,15.8,21.93
850,13.45,17.04
851,16.2,21.72
854,12.97,16.5
855,14.6,17.79
856,17.34,21.37
861,16.65,19.78
863,15.97,23
866,12.58,18.58
867,13.02,18.15
869,12.83,13.81
870,13.68,13.91
871,16.71,22.43
872,13.35,15.05
874,13.27,18.14
875,12.67,14.25
877,14.52,17.62
878,13.24,18.09
879,14.25,17
880,14.03,18.52
882,15.91,18.02
884,15.59,18.17
885,16.35,20.84
890,16.47,23.63
891,12.62,15.08
892,16.22,21.06
894,15.36,22.81
895,12.18,14.31
896,11.87,15.41
897,14.8,16.51
898,14.63,19.1
900,15.63,20.79
901,14.85,17.37
902,14.66,16.2
903,17.5,19.43
906,14.01,21.31
907,15.72,22.29
908,15.69,22.22
910,14.18,16.13
911,21.17,25.67
913,14.5,21.01
914,14.85,18.45
916,16.97,20.05
918,14.97,20.9
920,15.52,20.12
922,11.16,11.9
923,15.07,18.5
924,14.35,19.79
927,13.83,17.91
930,14.86,19.83
934,16.96,23.71
936,15.5,19.32
938,14.65,19.03
939,16.38,21.51
941,16.52,20.94
943,11.18,13.92
944,18.53,21.77
945,14.07,18.05
946,14.57,17.39
949,14.94,18.42
952,14.29,16.77
953,19.43,21.62
956,14.05,19.72
957,17.21,24.03
960,17.02,20.58
962,12.14,15.35
963,19.68,22.36
964,14.24,17.79
965,16.8,21.35
968,16.47,22.28
971,18.54,21.1
972,17.12,20.24
974,15.65,19.1
975,16.38,20.72
976,18.46,23.44
977,14.08,20.31
978,12.86,15.37
979,19.32,24.22
980,18.59,23.42
981,19.47,20.44
982,14.4,24.22
984,14.32,20.61
986,16.09,19.87
990,11.83,15.27
991,15.22,19.21
992,16.52,21.68
993,14.89,18.79
994,13.1,16.73
995,15.14,18.79
998,13.43,16.67
999,15.41,18.09
1001,14.64,16.25
1003,14,15.79
1004,13.03,19.75
1005,16.38,20.1
1006,13.69,17.65
1007,12.73,14.65
1008,16.22,18.28
1009,16.15,22.56
1010,16.97,21.27
1011,13.08,14.87
1012,13.12,14.1
1013,12.85,17.15
1014,17.87,25.71
1016,16.39,20.41
1023,16.87,22.91
1025,14.39,17.77
1026,16.89,21.09
1029,17.41,22.9
1030,21.78,26.35
1031,17.11,19.73
1032,13.94,16.55
1033,11.78,17.78
1036,15.67,17.87
1037,14.46,18.12
1039,14.67,14.48
1044,16.35,22.1
1045,17.02,20.69
1046,17.75,21.15
1048,19.07,21.66
1051,13.16,16.1
1053,16.88,20.6
1054,13.9,19.42
1055,12.76,14.97
1057,20.12,23.32
1059,14.34,19.79
1060,17.1,20.8
1061,14.75,19.52
1062,15.47,22.26
1063,12.82,16.51
1064,17.13,19.49
1066,17.5,18.75
1067,15.1,16.7
1068,17.03,22.01
1069,17.93,24.02
1070,14.76,20.76
1075,17.24,24.32
1076,15.79,16.18
1078,11.91,15.16
1079,17.36,19.57
1080,18.65,23.44
1081,13.05,21.2
1082,15.59,20.82
1086,14.15,18.33
1092,17.23,19
1093,16.24,22.45
1095,14.5,15.34
1097,13.61,15.4
1099,13.16,16.53
1100,17.25,19.37
1101,13.75,18.27
1102,14.63,15.04
1103,15.38,19.27
1104,15.03,18.51
1106,16.74,18.42
1108,16.82,23.17
1109,16.14,18.45
1113,13.17,15.27
1114,14.65,20.21
1116,13.93,17.42
1117,13.43,19.37
1118,17.72,22.6
1123,12.54,12.46
1125,13.6,15.49
1126,14.23,15.45
1128,12.53,14.03
1131,13.38,14.62
1143,13.42,16.11
1147,11.69,14.51
1154,11.38,12.38
1159,18.22,23.68
1166,12.5,16.5
1168,16.16,23.1
1169,11.94,13.65
1171,15.02,24.64
1184,11.1,13.22
1195,15.25,15.76
1196,12.33,19.09
1198,12.13,15.05
1202,13.09,15.43
1206,14.21,16.86
1207,12.58,16.25
1209,11.13,11.29
1213,11.73,15.4
1216,16.6,20.62
1218,11.43,16.71
1224,14.21,16.08
1225,16.46,25.38
1227,12.73,16.71
1228,17.01,20.87
1230,12.9,15.65
1231,12.61,14.86
1234,11.66,13.75
1235,11.57,11.5
1238,12.02,15.27
1245,10.86,13.06
1246,12.23,15.92
1248,12.58,19.06
1249,9.19,13.58
1252,14.52,18.55
1253,13.6,14.04
1254,13.44,13.95
1255,12.26,13.29
1257,16.76,19.74
1266,12.78,15.12
1273,12.46,17.45
1274,12.93,18.1
1276,13.96,18.64
1286,13.38,17.11
1287,11.26,12.18
1288,13.45,21.47
1290,12.65,13.52
1296,13.55,15.78
1317,16.34,25.31
1333,14.25,20.13
1334,18.33,21.11
1335,15.6,17.88
1338,13.58,20.1
1340,15.26,18.23
1341,16.62,20.56
1342,18.73,22.85
1345,17.19,24.31
1347,15.19,21.44
1348,13.93,18.83
1351,15.67,19.83
1352,22.48,31.39
1354,10.75,14.94
1355,16.1,22.45
1356,15.26,17.18
1357,15.07,27.54
1360,13.53,17.53
1361,16.19,21.19
1363,16.25,20.75
1364,14,16.76
1365,13.88,19.56
1366,12.83,20.47
1367,16.4,19.86
1369,14.48,16.7
1372,15.27,20.29
1373,17.31,20.35
1374,18,22.83
1376,17.51,18.76
1377,15.3,16.78
1379,14.55,22.61
1380,12.16,15.53
