,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
145,F,Bahutu,183,134,122,122,99,107,70,45.9,25.7,33.6,BHF
146,F,Bahutu,171,123,123,121,96,99.5,65.6,45,25.1,36,BHF
147,F,Bahutu,175,130,130,123,96,99,69,46.1,22.8,34.4,BHF
148,F,Bahutu,184,128,123.0666114,123,95,100.4609241,61.7822272,43.79860961,25.62930331,29,BHF
149,F,Bahutu,175,134,126.8432627,122,95.5,98.27878769,65.43933386,46.84293088,26.55709959,34.59570497,BHF
150,F,Bahutu,179.5,130,126,120,95.5,93.6,61.6,44.7,27.7,34.6,BHF
151,F,Bahutu,173.5,122,123.0740918,120.7679829,95.57730349,98.4389676,63.27967138,46.34898483,26.41593772,34.02991863,BHF
152,F,Bahutu,176,127,124.0051113,122,98,100,61,44.6,24.9,31.9,BHF
153,F,Bahutu,170,123,117,127.5,95,98.7,69.6,47.2,27.3,33.1,BHF
154,F,Bahutu,184,127,126.2171972,121.3321249,99.35387579,100.5291017,64.6,46.8,24.7,34.5,BHF
22,F,Basuku,177,129,127,132,100,100.6,60.9,44.2,30.7,32.9,BSF
23,F,Basuku,180,135,123.9828408,132,93,95.36786157,63.78200023,45.74526967,27.6474951,33.42081111,BSF
24,F,Basuku,170,131,113,133,89,89.1,61.3,45.5,26.5,30.8,BSF
25,F,Basuku,170,117,122,127,92,100.9,58.2,41.7,28.2,29.9,BSF
26,F,Basuku,173,128,116,117,91,100.8,65.5,47.7,27.7,28.7,BSF
27,F,Basuku,169,121,119,121,91,97.9,65.2,48.1,28.4,30.8,BSF
28,F,Basuku,174,125,121,126,93,98.5,51.6,40,26.6,33.2,BSF
29,F,Basuku,164,126,115,118,87,95.1,60,43.2,27,34.2,BSF
30,F,Basuku,172,129,115,124,92,94.5,59,46.2,24.1,34.6,BSF
31,F,Basuku,174,126,115,126,85,93,55,35.2,25.1,30.9,BSF
32,F,Basuku,184,125.5,131,131.3534226,103,99.4,62.3,48.2,28,36,BSF
33,F,Basuku,180,129,118,134,100,95.1,63.9,47.2,25.9,35.1,BSF
34,F,Basuku,179,112,116.9829254,131,96,97.6,61.5,47.2,27.2,34,BSF
35,F,Basuku,178,120,118.8150065,124.1155077,92,100.4,65,45.9,28.8,31.9,BSF
36,F,Basuku,171,127,118,123,89,93.9,63.2,44.9,26.4,33.6,BSF
37,F,Basuku,170,130,110,129,86,89.2,55.3,39.7,25.8,32.8,BSF
38,F,Basuku,177,128,126,122,100,96.5,65.8,48.7,25,33.8,BSF
39,F,Basuku,169,130,120,129,90.5,96.2,67.3,45.4,27.1,31.5,BSF
40,F,Basuku,173,122,120.0100884,128,94,96,61,46.1,28,30.6,BSF
41,F,Basuku,172,123,121,125,97,99.8,55.2,43.9,24.3,33.6,BSF
42,F,Basuku,183,132,127,133,98,102.5,63.5,45,27.3,32.6,BSF
43,F,Basuku,183,127,126,131,99,102,62,46.7,30.3,31.7,BSF
44,F,Basuku,180,131,125,135,104,105.1,59.9,49,29.4,32.8,BSF
45,F,Basuku,167,122,115,123,91,90,56,47.3,24,33.4,BSF
46,F,Basuku,171,126,119,119,93,96.3,58.5,44.7,23.5,31.4,BSF
47,F,Basuku,169,125,114,117,93,88,60,46.4,26.1,32.8,BSF
48,F,Basuku,180,126,120.5,129,96.90832712,97.3,63.6,44.2,22.6,32.8,BSF
49,F,Basuku,167,123,117,123,90,86.5,58,44.8,26.1,35.2,BSF
50,F,Basuku,169,115,114,119,91,93.1,59.9,46,27.4,33.2,BSF
51,F,Basuku,171,123,123,130,96,97.1,58.7,43.9,26.2,33.3,BSF
52,F,Basuku,163,129,116,118,84,83.7,56.1,43.7,27.4,33.2,BSF
53,F,Basuku,164,125,114,121,86,87.6,57.2,43.9,24.8,32.9,BSF
54,F,Basuku,170,123,115,120,98,104,58.3,43.7,25.1,33.3,BSF
55,F,Basuku,178,123,118,131,101,98.7,56.1,46.9,26.6,33.6,BSF
56,F,Basuku,167,119,124,123,95,95.3,56,45.1,26.5,32.2,BSF
57,F,Basuku,171,125,120,126,88,98.4,67.5,45.9,28.1,34.8,BSF
58,F,Basuku,169.5,122,112,121,91,95.6,59.6,42.6,24.1,32.2,BSF
59,F,Basuku,181,130,121,129,97,96.3,61.4,50.6,28.4,34,BSF
60,F,Basuku,172.8975417,123,117.6355169,125.86878,93.76206372,95.4936116,60.25846551,44.68696615,25.97762787,32.5342603,BSF
61,F,Basuku,168,126,119,122,88.68694077,88,57,42.2,25.1,33.2,BSF
62,F,Basuku,174,122,118,127,97,99.4,66.1,43.7,26.1,33.5,BSF
63,F,Basuku,175,139,129,131,90.89726612,79.7,57.2,44.3,24.8,35.3,BSF
64,F,Basuku,164,126,118,114,87,88.8,66.3,52.2,29.3,34.7,BSF
