,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
190,F,W,180.7063281,134,121,128.9415981,96,89,66,50,25,35,WF
191,F,W,167,135,115,121,87,82,59,45,22,30,WF
192,F,W,176.6586278,138,121,128.3266293,90,86,70,51,24,36,WF
193,F,W,180,136,128,133,96,91,68,53,25,36,WF
194,F,W,185.5110239,134,113,134,99,91,68,49,22,36,WF
195,F,W,173,136,119,134,95,92,68,50,20,35,WF
196,F,W,176.5718896,134.1741049,123,128.9206774,94,90,64,48,23,34,WF
197,F,W,178,130,116,127,88,81,70,49,23,35,WF
198,F,W,176,138,121,127,98,87,69,53,21,37,WF
199,F,W,174.7840083,128,118.4905819,126.356094,95,91,62,48,23,34,WF
200,F,W,173.6714842,134.459156,124,124.3895002,89,84,61,47,23,34,WF
201,F,W,178.5865797,127.6838854,118,129.1019834,101,100,59,45,23,30,WF
202,F,W,187.4864766,136.6939638,122,138,101,91,69,50,22,36,WF
203,F,W,178.4201335,132,118,128.101351,97,99,65,50,25,32,WF
204,F,W,184.3777506,130,123,132.6308749,105,97,61,49,25,33,WF
205,F,W,179.4125143,141,125,126.1912099,90,90.45785424,64.40377295,48,29,35,WF
206,F,W,180,132,119,131,97,91,64,52,23,35,WF
207,F,W,177.2441325,131,123,127.549622,93,82,63,50,28,35,WF
208,F,W,176.0723184,133,115,129.780104,98,92,62,47,21,35,WF
209,F,W,175,129,127,130,96,90,60,51,26,36,WF
210,F,W,177,138,126,136,99,93,66,50,21,35,WF
211,F,W,180.2705861,128,119,129,102,96,67,50,23,32,WF
212,F,W,178,139,117,128.9113086,93,89.35760657,61.46752683,45,24,36,WF
213,F,W,177.5205503,137,122,120,92,89,68,50.75619475,24.68521526,36,WF
214,F,W,188,137,122,134,107,94,73,53,24,35,WF
215,F,W,178.9343971,138.6623336,126,130.1230504,92,83,73,56,22,39,WF
216,F,W,172,128,120,128,95,94,68,52,22,35,WF
217,F,W,168,130,115,126,90,85,61,47,21,34,WF
218,F,W,186,133,119,137,100,88,68,53,26,34,WF
219,F,W,176,132,116,137,99,90,65,47,23,35,WF
220,F,W,182,136,118,123,89,86,63,44,26,34,WF
221,F,W,177,136,124,138,101,92,68,51,25,34,WF
222,F,W,180,138,122,133.654461,98,88,69,51,25,36,WF
