psraid,state,density,cregion,usr,q1,q2,q3,q5,q7a,q7b,q7c,q7d,q9,q10,q15a,q15b,q15c,q15d,q15e,q16a,q16b,q16c,q16d,q16e,q20,q21,q22,q23,q24,q24oe_1,q24oe_2,q24oe_3,q25,q26,q27,q33,q34,q40,q46m1,q46m2,q47m1,q47m2,q47m3,q47m4,q47m5,q47m6,q47m7,q48,q49,q50,q51,q52,q55,q55af1,q55bf1,q55cf1,q55df1,q55ff2,q55gf2,q55hf2,q55if2,q58a,q58b,q61f1,q63f2,q64,q66,party,partyln,q68,q69,q70,q71a,q71b,q71c,q71d,q71e,q71f,q71g,q73,q74,q74a,q74a_OE1,q74a_OE2,q74a_OE3,q75,q76,q77,q78,q79a,q79b,q79c,q79d,q79e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birthhisp,chr,relig,born,attend,income,reg,ideo,teapart2,pvote12a,pvote12b,q83,hh1,hh3,lc3,money2,q24vb,q70os,q74avb
101522,39,4,2,S,2,2,1,2,2,3,2,3,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,8,,,1,,1,3,2,1,5,2,,,,,,,,,2,1,2,2,1,2,1,3,1,,,,,2,2,2,,2,1,1,,2,,88,2,3,2,2,3,3,2,2,2,1,1,2,90,3,,1,1,3,1,1,1,3,1,26,6,2,1,,,,,,5,,4,10,3,2,2,,,,1,,,,"TO PREVENT OTHER CRIMINAL ACTS, OR SUSPECTEDCRIMINALS",,ABORTION AND GAY MARRIAGE AND ANY OTHER SOCIAL ISSUES
101527,17,2,2,S,2,2,2,1,9,9,3,3,3,1,9,9,9,9,9,9,9,9,9,9,2,1,2,2,1,8,,,2,1,1,4,2,9,1,5,8,,,,,,,,2,9,2,2,1,,,,,1,1,9,9,1,1,,1,1,9,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,4,2,1,,,,,,1,2,5,6,2,9,3,,,,3,2,1,,TO CATCH CRIMINALS,,
101538,38,1,2,R,2,1,1,1,4,2,2,4,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,4,,,1,,2,3,1,1,2,1,5,,,,,,,1,2,2,2,2,1,2,2,1,2,,,,,1,2,1,,1,2,3,2,,2,,,,,,,,,,,,,,,,3,,,,,,,,2,64,4,2,1,,,,,,1,1,4,7,1,3,2,1,1,1,2,2,3,,TRACKING WHAT YOU BUY WHERE YOU SPEND YOUR SPING MONEY JUST EVERYTHING,,
101553,55,3,2,S,2,2,1,2,2,3,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,3,,,2,1,2,3,3,1,1,5,1,,,,,,,,2,1,2,2,1,,,,,1,1,1,1,2,2,,1,1,2,1,,9,,99,5,5,3,5,5,8,1,1,9,,,,,3,,2,2,3,3,3,9,3,1,69,4,2,1,,,,,,1,2,3,6,1,3,3,1,9,2,2,2,1,,USEFUL PURPOSE,,
101554,38,1,2,R,2,1,1,2,3,3,2,3,3,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,3,,,9,,2,2,3,3,2,1,1,,,,,,,2,1,2,2,1,1,1,2,2,2,,,,,1,1,2,,2,2,2,,,2,,,,,,,,,,,,,,,,3,,,,,,,,2,80,4,2,1,,,,,,1,2,2,5,1,3,3,1,1,2,2,2,,,"SEEMS LIKE IF THEY HAVE A CHANCE THEY WILL, NOTHING SPECIFIC",,
101555,29,4,2,S,2,2,9,2,3,3,2,3,1,4,1,1,2,2,1,2,2,1,1,2,1,1,1,1,,,,,1,,2,3,3,2,1,2,5,7,,,,,,1,2,2,2,1,1,2,2,2,1,,,,,1,2,1,,2,2,3,1,2,,1,1,2,2,2,4,4,2,2,2,1,90,,,3,,1,1,3,1,1,1,1,2,70,3,2,1,,,,,,1,2,2,10,1,3,2,1,9,2,2,2,3,,,,THEIR SOCIAL ISSUES
101557,42,3,1,S,1,1,2,9,2,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,2,9,,,,,2,9,2,3,3,4,2,5,,,,,,,,,9,1,1,1,1,,,,,1,1,1,1,1,2,,1,1,2,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,39,6,2,1,,,,,,2,2,2,6,1,2,2,1,1,9,4,2,2,,,,
101570,13,1,3,R,2,2,1,2,9,9,9,8,3,1,2,1,9,9,2,1,2,2,9,9,1,2,9,2,1,4,,,9,,2,4,2,4,1,9,7,,,,,,,2,2,2,2,2,1,,,,,1,1,1,9,2,1,,1,9,2,1,,1,,99,2,8,5,5,5,2,5,9,1,,,,,3,,2,1,9,2,9,2,1,2,89,3,2,1,,,,,,1,2,1,10,1,1,1,1,2,9,1,,,,TO GET CONTROL OVER THE PEOPLE,,
101572,36,1,1,R,2,2,2,9,4,4,8,2,4,1,1,2,2,2,2,1,9,2,2,2,3,9,9,2,9,99,,,2,9,9,4,3,9,1,,5,,,,,,,2,2,1,2,9,1,2,9,2,3,,,,,2,1,2,,1,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,3,2,1,,,,,,13,2,5,1,1,9,3,2,,3,2,2,1,,,,
101573,45,2,3,S,1,1,2,1,4,1,2,4,1,4,1,2,2,2,2,2,1,1,1,1,2,1,9,1,,,,,1,,2,2,1,2,1,,6,5,,,,,,1,9,1,1,2,1,,,,,9,1,9,3,1,2,,2,2,2,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,49,3,2,1,,,,,,12,,6,5,1,4,2,1,1,1,3,3,3,,,,
101576,55,1,2,U,2,2,1,1,2,4,2,2,4,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,,,2,2,1,3,3,2,2,1,7,1,,,,,,2,2,2,2,2,1,,,,,1,2,1,1,1,2,,1,1,2,1,,2,,11,1,1,2,1,5,3,1,2,2,1,2,3,1,2,,2,1,3,1,1,1,3,2,58,3,2,1,,,,,,2,2,2,6,1,2,3,1,2,1,2,2,3,,REPUBLICAN LEAD TEA PARTY SINGLED OUT WITH THE IRS TAX RETURNS ECT. GOV USES INFO TO TARGET ORGAINZATIONS,,"SAME SEX MARAIGE, IMMAGRATION, ABORTION"
101583,51,1,3,S,2,2,9,2,2,3,2,3,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,4,,,2,1,1,3,1,2,1,5,8,,,,,,,,2,1,2,2,1,1,2,2,2,,,,,2,1,2,,2,2,3,1,2,,88,3,8,3,2,8,2,8,2,2,1,1,2,,3,,1,1,2,1,1,3,3,1,21,4,2,3,,,,,,2,2,2,3,1,3,1,1,3,1,4,4,2,,TO KEEP TABS ON PEOPLE AND TO PROTECT FEDERAL INTERESTS,,NEED TO RECONSIDER ITS STANCE ON ABORTION STAYING OUT OF GAY RIGHTS
101590,12,3,3,S,2,2,1,2,2,4,4,3,4,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,4,,,2,1,1,4,2,1,1,5,7,,,,,,,,2,2,2,2,1,,,,,2,2,1,1,1,2,,2,2,3,3,1,1,,7,4,4,4,2,4,2,4,2,2,1,1,2,3,3,,1,2,2,1,1,1,9,1,71,3,2,1,,,,,,1,2,6,5,1,2,1,1,2,1,2,2,1,,JSUT SO THEY CAN KEEP YOU IN THEIR BACK POCKET,,ABORTIONS GAY RIGHTS OUR BORDERS
101595,45,1,3,S,2,1,2,1,9,2,8,8,9,9,1,2,2,2,2,9,1,1,1,1,1,1,9,2,1,6,,,9,,1,4,3,2,5,2,,,,,,,,,2,2,2,2,1,,,,,1,1,1,9,1,1,,1,1,2,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,55,3,2,2,,,,,,1,1,2,7,1,3,9,1,1,1,5,3,2,,FOR WHATEVER THEY WANT,,
101597,47,1,3,R,2,2,2,1,4,2,3,3,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,4,,,2,2,2,3,3,3,1,5,1,,,,,,,,2,9,2,2,1,,,,,1,1,1,9,2,2,,1,1,2,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,35,5,2,1,,,,,,2,1,1,5,2,3,3,,,,5,2,1,,TO COLLECT INFORMATION ABOUT PEOPLE TO BE SPYS,,
101598,48,1,3,R,2,2,1,2,1,3,1,3,3,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,,,,,2,2,2,4,2,9,1,3,7,1,2,,,,,2,2,2,2,2,1,1,2,1,1,,,,,1,2,2,,1,9,3,1,1,,88,1,8,2,2,2,1,1,1,1,,,,,2,,2,1,2,9,3,2,3,1,75,3,2,1,,,,,,1,2,5,4,1,1,3,1,2,3,1,,,,,,
101599,37,3,3,S,2,2,1,1,1,4,4,1,2,2,2,1,2,1,1,1,2,2,1,2,2,1,9,1,,,,,2,2,1,2,1,3,1,3,4,,,,,,,2,2,1,2,2,1,,,,,1,1,1,1,1,2,,2,2,2,1,,1,,1,1,2,2,5,5,2,1,9,2,1,80,,,3,,2,2,2,2,2,2,3,1,46,6,2,1,,,,,,1,1,1,10,1,1,1,1,2,1,3,2,2,,,,THEY NEED TO BECOME MORE CONSERVATIVE
101600,36,5,1,U,1,9,2,2,3,2,3,3,2,4,1,1,2,2,2,2,1,2,1,1,1,1,1,1,,,,,1,,2,2,1,3,1,2,3,2,,,,,,2,2,2,2,1,1,2,2,1,1,,,,,1,2,3,,2,1,3,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,74,3,2,1,,,,,,2,2,1,3,1,2,2,1,1,9,2,2,2,,,,
101606,36,5,1,S,2,1,1,2,3,3,2,4,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,6,,,2,2,1,4,1,2,1,3,5,,,,,,,1,2,2,2,1,1,1,1,2,1,,,,,1,2,2,,2,1,3,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,1,99,6,2,1,,,,,,1,2,3,10,1,3,2,1,1,4,4,2,2,,THEY CAN USE IT FOR ANYTHING,,
101614,54,2,3,S,2,2,1,9,1,4,8,1,4,1,2,1,1,1,1,1,2,2,2,2,2,2,9,2,1,3,,,9,,9,4,3,9,1,2,7,5,6,,,,,2,9,2,2,2,1,2,2,9,9,,,,,2,2,1,,9,3,1,,1,,88,8,8,8,8,8,8,1,1,1,,,,,3,,2,2,2,9,9,9,3,1,53,4,9,5,,,,,,1,1,4,2,1,2,1,1,2,1,2,2,,,JUST TO KEEP TABS ON ALL THE PEOPLE,,
101620,26,5,2,U,1,2,1,2,3,3,2,2,3,1,2,1,1,1,1,1,2,1,1,2,2,1,1,9,,,,,9,,1,3,2,1,2,1,2,,,,,,,2,2,1,2,2,1,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,99,8,8,3,8,9,2,8,2,9,,,,,2,,1,1,1,3,1,3,3,1,80,3,2,1,,,,,,6,,5,5,1,2,3,1,2,2,1,,,,,,
101627,18,5,2,S,2,2,1,2,1,4,2,3,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,2,,2,1,1,4,3,4,2,1,1,7,,,,,,1,2,2,2,2,1,2,2,2,1,,,,,1,1,2,,2,2,1,,1,,2,2,1,1,1,5,1,2,2,2,1,2,,,1,,1,1,2,2,1,2,2,2,80,4,2,1,,,,,,1,1,2,5,1,2,1,1,2,1,2,2,3,,"THEY WANT TO CONTROL THE PEOPLE, THE DEMOCRATS WANT TO",,GAY MARRIAGE
101631,29,4,2,S,2,2,1,2,2,3,2,3,3,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,,,,,1,,2,4,3,3,1,2,7,,,,,,,1,2,2,2,2,1,,,,,2,2,1,1,2,1,,1,2,2,3,1,1,,10,2,2,2,2,2,2,2,2,1,,,,,3,,1,2,2,3,3,3,3,2,81,3,2,1,,,,,,13,2,6,2,1,2,1,1,2,4,1,,,,,,
101632,55,1,2,U,1,1,1,2,9,2,2,3,2,2,1,1,2,2,1,2,1,1,1,1,2,1,9,1,,,,,2,9,2,3,2,2,1,2,2,,,,,,,2,2,1,1,2,1,1,1,2,1,,,,,2,2,2,,1,1,3,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,56,6,2,1,,,,,,12,,5,7,1,4,3,1,1,1,2,2,2,,,,
101633,36,2,1,U,2,2,1,9,2,4,3,4,2,3,2,2,1,1,1,1,2,2,2,2,1,1,9,9,,,,,1,,2,4,3,3,2,1,3,,,,,,,2,9,2,2,2,1,2,2,2,2,,,,,1,2,2,,9,2,3,1,1,,88,3,8,2,2,5,4,2,2,9,,,,,9,,1,1,2,2,2,2,2,2,65,3,2,1,,,,,,13,1,1,10,1,1,2,1,2,2,2,2,3,,,,
101636,22,1,3,R,2,2,1,2,1,4,2,3,3,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,3,,,2,1,1,4,2,2,1,5,3,1,,,,,,,2,2,2,2,1,,,,,1,2,1,1,2,1,,1,2,3,1,,2,,1,1,4,3,1,5,1,1,2,2,1,70,1,,3,,1,1,2,3,3,2,3,2,52,4,2,1,,,,,,1,1,3,1,1,2,1,1,2,1,3,3,2,,"USED TO TRACK INFORMATION ON HOW WE VOTE,OUR JOB SECURITIES",,THEY CUT DOWN WOMEN IN REGARD TO ABORTION AND THING SLIKE THAT
101637,31,4,2,S,2,1,1,1,2,2,2,3,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,2,1,6,,,2,2,2,3,2,1,5,2,,,,,,,,,2,1,2,2,1,,,,,1,1,3,3,1,1,,2,1,2,2,,,2,,,,,,,,,,,,,,,,3,,,,,,,,2,41,6,2,1,,,,,,2,2,4,8,1,3,2,1,1,3,4,2,1,,WHATEVER SUITS THEY'RE FANCY,,
101663,36,4,1,S,1,1,9,9,2,2,2,2,2,2,2,2,9,2,1,2,1,1,1,1,3,2,2,9,,,,,9,,9,3,2,3,1,3,1,,,,,,,2,9,2,9,1,1,,,,,1,2,2,2,9,1,,1,2,2,2,,,2,,,,,,,,,,,,,,,,3,,,,,,,,2,92,4,2,2,,,,,,2,1,2,3,1,4,8,1,1,2,1,,,,,,
101675,5,1,3,R,2,1,2,1,4,8,1,2,1,2,2,1,1,2,1,2,1,1,1,1,3,2,2,9,,,,,9,,2,4,3,4,1,2,7,,,,,,,2,9,2,1,9,1,,,,,1,1,9,2,2,1,,2,1,1,2,,,2,,,,,,,,,,,,,,,,3,,,,,,,,2,62,3,2,2,,,,,,12,,2,2,1,1,3,1,1,1,2,2,3,,,,
101676,24,4,3,S,2,2,1,2,3,4,4,3,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,3,,,1,,1,4,3,3,3,1,7,,,,,,,2,2,2,2,2,1,2,2,2,2,,,,,2,1,1,,2,1,2,,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,74,3,2,1,,,,,,2,2,2,8,1,3,3,1,2,1,2,2,2,,I THINK PURPOSE ARE OKAY I AM WORRIED ABOUT WHAT THEY MIGHT DO. AS IN THE CASE AS IN THE IRS RELEASED INFORMATION.,,
101685,55,1,2,R,2,2,1,9,3,3,3,4,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,9,99,,,9,,1,4,3,4,1,,7,,,,,,,1,1,2,2,2,1,2,2,2,2,,,,,1,2,2,,2,3,3,1,9,,99,4,9,9,4,4,4,4,2,1,,,,,3,,2,1,3,3,2,9,3,2,62,4,2,1,,,,,,1,1,2,6,1,2,1,1,9,2,2,2,3,,,,
101695,9,4,1,U,2,2,1,2,3,3,2,4,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,,,,,1,,2,3,1,2,1,2,5,,,,,,,1,2,1,1,1,1,,,,,1,1,2,1,1,2,,1,1,1,3,1,2,,88,2,2,1,2,5,3,3,2,1,,,,,3,,2,2,3,1,1,3,1,1,69,6,2,1,,,,,,1,2,2,8,1,3,2,1,2,9,1,,,,,,
101700,47,1,3,R,2,2,1,2,2,3,3,3,3,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,3,,,2,2,2,4,3,2,1,2,7,,,,,,,2,2,2,2,2,1,,,,,2,1,1,1,1,1,,2,2,3,3,1,2,,5,2,1,1,8,8,8,2,2,2,9,99,,,1,,1,2,1,3,9,3,3,1,65,3,2,1,,,,,,1,2,5,5,1,3,3,1,2,3,2,2,1,,THE COLLECT INFORMATION ABOUT INDIVIDUALS,,
101709,25,4,1,S,1,1,2,2,4,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,9,1,1,,,,,9,,2,2,2,2,1,3,3,,,,,,,2,9,9,1,9,1,,,,,1,1,9,9,1,1,,1,9,9,2,,,9,,,,,,,,,,,,,,,,2,,,,,,,,1,73,2,2,1,,,,,,2,1,2,2,1,9,2,1,1,1,1,,,,,,
101713,55,3,2,S,2,2,1,2,1,4,3,4,4,2,2,1,1,1,1,1,2,2,2,2,2,1,9,2,1,2,,,2,2,1,4,3,4,2,3,,,,,,,,1,9,2,2,2,1,1,2,2,2,,,,,1,9,2,,2,1,3,1,1,,88,2,2,2,2,2,5,1,2,1,,,,,3,,1,1,2,2,2,2,3,1,90,5,2,1,,,,,,1,2,3,10,1,2,1,1,2,1,2,2,3,,TO BENEFIT OBAMA,,
101720,33,1,1,R,2,2,9,2,3,4,4,4,2,1,2,1,1,1,1,1,2,1,2,1,1,1,9,2,1,9,2,7,1,,1,4,3,3,5,3,,,,,,,,,2,2,2,2,1,,,,,2,2,1,1,1,2,,1,1,3,3,1,1,,99,2,2,1,5,5,1,2,2,1,,,,,1,,2,2,2,3,3,2,3,2,55,4,2,1,,,,,,1,2,1,10,3,1,3,,,,4,4,2,,"COMMERCIALISM, POLITICAL OPINIONS, RELIGIOUS VIEWS",,
101725,42,3,1,S,9,1,9,1,4,2,3,4,1,9,1,2,2,2,2,2,1,1,1,1,1,9,2,2,1,8,,,1,,9,3,2,2,5,2,,,,,,,,,2,2,2,2,1,,,,,2,2,1,2,2,2,,1,2,1,3,2,,1,,,,,,,,,,,,,,,,2,,,,,,,,2,63,8,2,1,,,,,,1,2,5,10,1,3,2,1,1,1,2,2,3,,I THINK THEY ARE TRYING TRACK ILLEGAL ACTIVITES.,,
101736,27,1,2,R,2,2,1,2,2,4,3,3,2,4,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,,,9,,1,3,1,3,5,1,7,,,,,,,,2,2,2,1,1,,,,,1,1,1,1,2,2,,1,1,3,1,,1,,10,3,2,1,1,1,1,1,1,1,,,,,3,,2,1,3,3,3,3,3,1,53,3,2,1,,,,,,1,1,2,8,1,3,3,1,2,1,4,3,1,,ALL THE IRS SCANDALS. THINGS SEEM TO POINT TO THE PRESIDENT,,
101739,36,4,1,S,9,1,9,1,3,2,9,9,2,4,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,99,,,2,2,2,4,1,2,5,1,3,,,,,,,,2,1,2,1,1,3,2,2,1,,,,,2,2,2,,1,2,2,,,2,,,,,,,,,,,,,,,,9,,,,,,,,2,47,6,2,1,,,,,,12,,6,6,1,3,3,1,1,3,3,1,3,,I CANT EVEN IMAGINE,,
101752,37,2,3,S,2,2,2,2,3,3,2,2,3,1,1,1,1,2,1,1,1,1,2,1,3,2,2,2,1,6,,,9,,2,4,3,3,5,1,1,,,,,,,,2,2,2,2,1,1,2,2,1,,,,,1,1,2,,1,3,1,,2,,99,2,2,5,2,5,5,2,2,2,1,1,,,3,,1,1,3,3,3,2,2,2,24,5,2,1,,,,,,12,,5,5,1,3,3,1,3,2,4,2,,,ANYTHING THEY WANT TO KNOW ABOUT TO PUT THEIR HANDSIN,,SOME OF THEIR ABORTION CONSIDERATION
101755,29,4,2,S,1,1,1,2,3,2,1,4,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,8,,,2,9,2,2,1,9,2,1,4,,,,,,,1,1,2,2,2,1,,,,,2,2,1,1,1,2,,1,1,2,3,2,,3,,,,,,,,,,,,,,,,1,,,,,,,,2,75,4,2,1,,,,,,2,2,2,7,1,2,2,1,1,1,2,2,2,,FIGHT LOCAL FIGHT NATIONAL CRIME AND INTERNATIONAL CRIME,,
101757,18,2,2,S,2,2,1,2,9,4,4,3,2,2,2,1,1,9,1,1,2,2,2,2,1,2,2,2,1,2,,,2,9,9,4,3,3,3,1,7,,,,,,,2,9,9,2,2,1,,,,,9,2,1,1,1,1,,1,2,9,1,,1,,3,3,1,9,2,1,1,1,9,9,,,,,1,,9,1,3,3,9,9,9,1,76,3,2,1,,,,,,1,1,2,5,1,2,1,1,2,2,2,2,1,,FOR THEIR OWN AGENDA,,
101759,42,5,1,U,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,,,,,9,,2,2,2,9,1,,5,,,,,,,1,1,2,9,1,1,1,9,1,9,,,,,1,2,2,,1,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,2,2,2,,,,,,1,1,3,1,1,5,9,1,9,1,1,,,,,,
101760,48,5,3,S,2,1,2,1,4,2,3,4,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,,,,,9,,2,2,1,2,1,2,4,1,,,,,,1,9,9,9,2,1,,,,,3,3,3,3,1,2,,2,2,1,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,63,6,2,1,,,,,,12,,5,4,1,4,2,1,1,2,2,2,3,,,,
101762,5,2,3,U,2,2,1,2,2,3,2,3,3,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,,,2,2,2,3,3,3,1,,7,,,,,,,1,2,2,2,2,1,2,2,2,2,,,,,1,1,2,,1,3,3,1,2,,1,2,2,4,2,2,2,1,2,1,,,,,1,,2,2,3,3,3,2,3,1,77,6,2,1,,,,,,1,2,1,10,1,2,3,1,2,1,2,2,2,,FOR THEIR OWN BENEFIT NOT OURS,,
101764,47,2,3,S,2,1,1,2,4,4,4,4,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,6,,,2,1,1,4,3,2,5,1,1,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,2,1,1,,3,3,3,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,20,3,2,1,,,,,,1,2,4,1,3,1,3,,,,2,1,,,ANY THING THATS HIDDEN FROM THE GOVERNMENT.,,
101774,26,3,2,U,1,1,9,1,9,2,2,3,3,2,2,1,1,1,1,2,1,1,1,1,2,9,2,2,1,3,,,2,2,2,3,1,3,2,1,3,,,,,,,2,2,1,2,2,1,,,,,1,1,2,9,2,1,,1,1,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,65,5,2,1,,,,,,1,2,2,1,3,2,3,,,,1,,,,"JUST A COMBONATION OF WHO WE'RE CALLING, AND WHAT PRODUCTS WE BUY, AND HOW MUCH WE MAKE.",,
101780,17,5,2,U,1,1,1,2,2,3,2,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,,,,,2,1,2,2,1,2,5,2,,,,,,,,,2,1,2,2,1,,,,,1,2,1,3,1,2,,1,2,1,1,,2,,9,2,2,2,2,2,2,2,2,1,,,,,3,,1,2,3,1,3,3,2,1,27,6,2,1,,,,,,1,2,5,6,3,3,3,,,,1,,,,,,
101784,28,1,3,R,2,2,1,2,8,8,3,3,4,3,9,9,2,2,1,1,2,1,2,9,1,2,2,2,1,4,,,2,1,1,4,3,4,5,1,4,,,,,,,,9,2,2,2,1,1,2,2,3,,,,,1,1,1,,2,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,6,2,1,,,,,,13,1,2,10,1,3,3,1,9,2,4,9,2,,"TAPING INTO EVERYONE PHONE, SEE WHO YOUR CALLING,SOCIALISM",,
101802,40,4,3,S,2,2,1,2,3,3,2,3,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,,,,,2,2,2,3,1,2,5,1,5,2,,,,,,,2,2,2,2,1,2,2,1,2,,,,,2,2,2,,1,3,3,1,2,,1,2,2,2,2,5,3,5,2,2,1,85,,,2,,2,1,3,1,1,1,1,2,69,3,2,1,,,,,,1,2,3,8,1,3,2,1,2,1,2,2,1,,,,THEY NEED TO BE MORE MODERATE AND BE WILLING TO WORK WITH THE WHOLE CONGRESS
101807,25,3,1,S,9,2,9,1,2,3,8,3,2,9,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,,,2,9,2,3,2,9,1,2,9,,,,,,,1,2,2,9,2,1,,,,,2,2,1,3,2,2,,1,1,2,1,,2,,99,2,8,2,3,5,8,2,2,2,1,98,,,1,,9,9,1,2,9,1,3,2,99,6,2,1,,,,,,2,2,2,3,1,3,3,1,3,2,1,,,,WHEATHER THEY'RE GOING WIN THE ELECTION. A LOT OF WAYS WE HAVE NO IDEA ABOUT,,THE PRESENTAION OF THE PEOPLE AS THEY COME T.V. THE WAY THEY ARE ON T.V.
101828,38,1,2,R,2,2,1,2,3,2,8,2,3,1,1,2,2,1,2,1,1,2,2,9,2,2,1,2,9,99,,,2,2,2,4,3,1,1,5,5,,,,,,,,1,2,2,2,1,2,1,2,1,,,,,1,1,2,,1,1,3,2,,1,,,,,,,,,,,,,,,,2,,,,,,,,2,54,5,2,1,,,,,,12,,5,3,1,3,8,1,3,2,2,2,2,,,,
101834,37,1,3,R,9,1,2,1,8,8,4,3,3,2,2,1,9,2,2,2,2,2,2,2,1,9,2,2,1,4,,,2,1,1,3,3,3,5,2,,,,,,,,,2,1,1,1,1,2,1,2,1,,,,,1,1,2,,1,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,3,2,1,,,,,,2,1,3,3,3,4,3,,,,5,2,3,,TO TRY AND TAKE CONTROL OVER EVERYTHING AND EVERYBODY,,
101839,40,1,3,R,2,2,1,2,8,8,2,8,2,3,1,1,2,2,9,9,1,2,1,2,2,1,1,2,1,10,,,2,2,2,3,3,3,1,,1,,,,,,,2,9,2,2,1,1,2,2,2,1,,,,,1,2,3,,3,3,2,,,2,,,,,,,,,,,,,,,,2,,,,,,,,1,50,3,2,1,,,,,,1,1,2,4,1,3,3,1,2,1,3,3,3,,PROBABLY TAX PURPOSES,,
101847,48,1,3,R,2,2,1,2,4,4,4,4,1,4,1,2,1,1,1,1,2,2,2,2,1,1,1,1,,,,,1,,1,3,2,3,1,5,4,,,,,,,,2,2,2,2,1,1,1,2,2,,,,,1,2,2,,2,3,1,,1,,1,2,8,1,4,2,2,8,2,2,1,1,2,8,2,,2,2,3,2,2,2,1,2,62,6,2,1,,,,,,13,1,1,4,1,1,3,1,3,2,2,2,3,,,,"ABORTION, GAY RIGHTS, FINACIAL BALANCE THE BUDGET NATIONAL DEBT"
101856,47,2,3,S,2,2,2,2,3,4,8,3,4,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,4,,,2,1,1,3,2,2,5,,,,,,,,,,2,1,2,2,1,,,,,1,1,1,1,1,1,,1,1,2,3,1,2,,20,4,3,2,4,4,3,4,2,2,1,1,,,2,,1,1,2,1,1,1,1,2,50,6,2,1,,,,,,1,2,3,7,1,3,1,2,,1,2,2,3,,"COLLECTING ALL SORTS OF INFO ABOUT ALL AMERICANS,FINDING OUT EVERYTHING ABOUT US WITHOUT A SEARCH WARRANT, NONE OF THERE BUSINESS, SHOULDN'T BE PRIVY TO CONVO. I THINK I AM BEING FLAGGED B/C OF MY INT'L BUSINESS TRANSACTIONS.",MARSHA BLACKBURN,STANCE ON ABORTION
101859,47,1,3,R,2,9,1,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,,,2,2,2,2,3,2,1,2,6,5,1,,,,,1,2,2,2,2,1,2,1,2,9,,,,,1,2,2,,1,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,3,2,1,,,,,,1,1,1,2,3,9,3,,,,5,2,1,,"TO FIND OUT ABOUT THOUSE WHO ARE ANTI GOVERNMENT,  AND USE THE WEB TO TARGET PEOPLE FOR THE GOOD OF WHOEVER IS LOOKIN,",,
