SEX,pop,geog,BIBLIO,POPUL,GOL,XCB,BBH,ZYB,NPH,NLH,NLB,OBH,OBB,BPL,BNL
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,173,NA,129,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,137,132,NA,NA,NA,NA,NA,NA,NA,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,175,,118,NA,60,48,NA,35,42,79,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,129,122,NA,72,52,23,33,40,85,93
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,,124,NA,72,50,24,35,41,85,93
1,histw,B,MORANT 1931,Anglais London Spitalfields,165,NA,125,NA,64,47,25,24,39,86,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,137,128,NA,72,52,22,34,40,88,93
2,histw,B,MORANT 1931,Anglais London Spitalfields,167,133,129,NA,66,48,24,30,39,91,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,136,123,NA,70,49,23,36,42,91,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,NA,121,NA,66,49,21,33,41,93,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,131,118,NA,NA,NA,NA,NA,NA,NA,94
2,histw,B,MORANT 1931,Anglais London Spitalfields,NA,136,123,NA,NA,NA,NA,NA,NA,NA,94
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,132,124,NA,NA,NA,NA,NA,NA,NA,94
2,histw,B,MORANT 1931,Anglais London Spitalfields,169,133,124,NA,NA,NA,NA,NA,NA,NA,94
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,138,124,NA,NA,NA,NA,NA,NA,NA,94
2,histw,B,MORANT 1931,Anglais London Spitalfields,174,NA,125,NA,NA,NA,NA,NA,NA,NA,94
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,179,137,127,NA,NA,NA,NA,NA,NA,NA,94
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,137,127,NA,NA,NA,NA,NA,NA,NA,94
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,136,128,NA,NA,NA,NA,NA,NA,NA,94
2,histw,B,MORANT 1931,Anglais London Spitalfields,164,138,126,NA,NA,50,26,33,37,NA,94
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,134,119,NA,57,48,23,34,40,84,94
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,NA,121,NA,66,49,22,36,43,87,94
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,147,121,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,137,122,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,174,126,125,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,132,125,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,,136,125,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,NA,126,NA,NA,NA,NA,NA,NA,NA,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,134,126,NA,NA,NA,NA,NA,NA,NA,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,144,126,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,141,127,NA,NA,NA,NA,NA,NA,NA,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,169,143,131,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,MORANT 1931,Anglais London Spitalfields,182,143,131,NA,NA,NA,NA,NA,NA,NA,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,169,144,132,NA,NA,NA,NA,NA,NA,NA,95
2,histw,B,MORANT 1931,Anglais London Spitalfields,172,141,,NA,NA,NA,NA,NA,NA,NA,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,NA,NA,NA,NA,NA,NA,32,NA,NA,95
2,histw,B,MORANT 1931,Anglais London Spitalfields,167,141,122,NA,NA,NA,NA,33,NA,NA,95
2,histw,B,MORANT 1931,Anglais London Spitalfields,175,,119,NA,NA,50,23,33,38,NA,95
2,histw,B,MORANT 1931,Anglais London Spitalfields,173,NA,125,NA,NA,NA,NA,30,39,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,127,122,NA,63,47,20,34,36,89,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,134,121,NA,61,49,24,37,40,90,95
2,histw,B,MORANT 1931,Anglais London Spitalfields,,NA,124,NA,64,45,20,30,42,90,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,175,135,127,NA,62,46,22,34,41,91,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,,119,NA,66,48,NA,32,41,92,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,132,121,NA,67,48,25,32,41,94,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,138,119,NA,74,54,22,34,41,96,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,149,138,NA,71,50,29,34,44,97,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,139,124,NA,NA,NA,NA,NA,NA,NA,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,144,124,NA,NA,NA,NA,NA,NA,NA,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,141,125,NA,NA,NA,NA,NA,NA,NA,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,NA,127,NA,NA,NA,NA,NA,NA,NA,96
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,168,136,127,NA,NA,NA,NA,NA,NA,NA,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,139,131,NA,NA,NA,NA,NA,NA,NA,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,172,143,131,NA,NA,NA,NA,NA,NA,NA,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,NA,136,NA,NA,NA,NA,NA,NA,NA,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,,126,NA,NA,50,26,33,40,NA,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,149,126,NA,66,44,24,32,42,89,96
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,135,132,NA,63,48,24,33,43,89,96
2,histw,B,MORANT 1931,Anglais London Spitalfields,173,138,121,NA,66,48,23,31,40,90,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,144,132,NA,68,48,24,32,42,91,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,173,144,137,NA,75,52,NA,32,41,92,96
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,183,136,119,NA,64,48,23,33,42,92,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,142,131,NA,71,51,23,34,42,93,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,,NA,NA,73,53,28,33,41,96,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,,126,NA,65,51,24,33,43,96,96
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,183,135,NA,NA,NA,NA,NA,NA,NA,NA,97
2,histw,B,MORANT 1931,Anglais London Spitalfields,175,NA,124,NA,NA,NA,NA,NA,NA,NA,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,136,125,NA,NA,NA,NA,NA,NA,NA,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,138,127,NA,NA,NA,NA,NA,NA,NA,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,139,128,NA,NA,NA,NA,NA,NA,NA,97
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,132,129,NA,NA,NA,NA,NA,NA,NA,97
2,histw,B,MORANT 1931,Anglais London Spitalfields,175,139,131,NA,NA,NA,NA,NA,NA,NA,97
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,141,131,NA,NA,NA,NA,NA,NA,NA,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,149,134,NA,NA,NA,NA,NA,NA,NA,97
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,143,142,NA,NA,48,25,28,38,NA,97
2,histw,B,MORANT 1931,Anglais London Spitalfields,176,139,124,NA,NA,48,NA,34,41,NA,97
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,NA,125,NA,NA,50,25,34,41,NA,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,NA,127,NA,NA,48,22,33,42,90,97
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,133,123,NA,61,45,24,33,42,91,97
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,,125,NA,67,47,21,34,42,92,97
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,137,124,NA,65,46,23,34,42,92,97
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,145,131,NA,70,52,25,35,42,92,97
1,histw,B,MORANT 1931,Anglais London Spitalfields,176,142,123,NA,64,47,22,29,41,97,97
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,143,NA,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,172,155,NA,NA,NA,NA,NA,NA,NA,NA,98
2,histw,B,MORANT 1931,Anglais London Spitalfields,172,,NA,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,168,141,122,NA,NA,NA,NA,NA,NA,NA,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,144,127,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,147,127,NA,NA,NA,NA,NA,NA,NA,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,,127,NA,NA,NA,NA,NA,NA,NA,98
2,histw,B,MORANT 1931,Anglais London Spitalfields,176,144,128,NA,NA,NA,NA,NA,NA,NA,98
2,histw,B,MORANT 1931,Anglais London Spitalfields,174,NA,129,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,NA,129,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,138,129,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,172,131,131,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,148,131,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,188,149,132,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,NA,133,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,172,135,134,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,145,134,NA,NA,NA,NA,NA,NA,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,193,144,136,NA,NA,NA,NA,NA,NA,NA,98
2,histw,B,MORANT 1931,Anglais London Spitalfields,166,144,127,NA,NA,NA,NA,30,40,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,171,NA,NA,NA,NA,NA,NA,33,42,NA,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,176,147,126,NA,NA,NA,NA,35,43,NA,98
2,histw,B,MORANT 1931,Anglais London Spitalfields,177,138,129,NA,65,50,25,33,40,85,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,135,NA,NA,71,52,22,33,41,86,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,,128,NA,68,48,22,33,40,91,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,183,139,133,NA,70,51,25,33,42,92,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,196,138,128,NA,NA,57,25,36,43,92,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,NA,118,NA,66,51,23,34,45,92,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,171,136,127,NA,66,46,24,31,40,97,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,,132,NA,65,47,NA,31,39,98,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,142,132,NA,72,52,22,34,41,98,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,145,NA,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,152,NA,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,NA,126,NA,NA,NA,NA,NA,NA,NA,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,131,126,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,141,126,NA,NA,NA,NA,NA,NA,NA,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,143,128,NA,NA,NA,NA,NA,NA,NA,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,138,132,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,149,132,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,179,142,133,NA,NA,NA,NA,NA,NA,NA,99
2,histw,B,MORANT 1931,Anglais London Spitalfields,179,144,137,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,NA,139,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,143,141,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,195,144,141,NA,NA,NA,NA,NA,NA,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,135,132,NA,NA,NA,NA,32,NA,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,135,127,NA,NA,NA,NA,33,NA,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,NA,129,NA,NA,NA,NA,35,NA,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,189,148,126,NA,NA,NA,NA,NA,43,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,171,152,132,NA,NA,NA,NA,34,45,NA,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,135,126,NA,62,46,22,35,43,89,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,141,136,NA,61,45,22,34,42,90,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,137,131,NA,66,49,23,34,41,95,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,138,129,NA,70,53,23,33,40,96,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,145,124,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,141,125,NA,NA,NA,NA,NA,NA,NA,101
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,136,126,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,,126,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,,138,128,NA,NA,NA,NA,NA,NA,NA,101
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,135,129,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,137,129,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,NA,132,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,143,132,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,,132,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,143,142,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,,,NA,NA,NA,NA,NA,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,,124,NA,NA,NA,NA,31,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,145,127,NA,NA,47,NA,35,42,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,145,136,NA,NA,49,NA,30,43,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,137,138,NA,75,54,23,35,41,91,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,145,NA,NA,67,48,NA,32,42,93,101
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,132,126,NA,71,50,20,NA,NA,95,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,147,NA,NA,70,51,26,31,43,97,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,197,139,142,NA,70,49,27,33,41,99,101
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,139,NA,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,142,128,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,NA,129,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,142,129,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,148,129,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,143,132,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,,132,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,136,135,NA,NA,NA,NA,NA,NA,NA,102
2,histw,B,MORANT 1931,Anglais London Spitalfields,182,135,136,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,144,136,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,189,145,137,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,187,,139,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,147,,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,149,,NA,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,148,148,NA,NA,NA,NA,34,NA,NA,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,NA,134,NA,NA,52,NA,30,45,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,173,152,144,NA,NA,48,25,33,45,NA,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,148,133,NA,76,54,23,34,44,90,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,189,NA,135,NA,78,52,24,32,40,95,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,131,132,NA,72,52,23,33,40,95,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,199,NA,116,NA,69,53,24,NA,NA,98,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,134,132,NA,71,49,22,34,42,101,102
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,145,127,NA,NA,NA,NA,NA,NA,NA,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,134,131,NA,NA,NA,NA,NA,NA,NA,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,139,134,NA,NA,NA,NA,NA,NA,NA,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,,144,NA,NA,52,NA,32,43,NA,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,144,135,NA,NA,NA,NA,35,44,NA,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,142,134,NA,73,51,21,34,44,91,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,189,159,134,NA,73,57,26,34,45,91,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,133,137,NA,69,52,25,34,43,94,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,134,135,NA,68,49,23,33,42,95,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,138,138,NA,66,50,25,35,43,98,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,142,127,NA,74,52,NA,35,45,98,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,141,137,NA,78,56,25,38,46,99,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,171,139,136,NA,64,47,26,30,43,102,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,141,124,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,149,129,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,133,133,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,141,133,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,136,134,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,143,134,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,136,136,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,,139,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,187,142,142,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,151,143,NA,NA,NA,NA,NA,NA,NA,104
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,136,NA,NA,62,50,NA,31,42,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,147,138,NA,NA,52,NA,31,42,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,173,141,125,NA,NA,NA,NA,32,43,NA,104
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,197,141,133,NA,75,55,23,34,43,93,104
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,138,139,NA,71,47,23,35,42,95,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,146,138,NA,72,52,NA,34,43,98,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,139,122,NA,NA,NA,NA,NA,NA,NA,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,179,139,136,NA,NA,NA,NA,NA,NA,NA,105
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,179,,138,NA,NA,NA,NA,NA,NA,NA,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,197,138,139,NA,NA,NA,NA,NA,NA,NA,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,148,NA,NA,72,57,29,35,44,93,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,138,NA,NA,70,55,NA,NA,NA,96,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,146,136,NA,NA,50,NA,33,43,96,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,138,135,NA,67,48,25,32,44,102,105
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,139,134,NA,70,51,25,32,40,108,105
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,196,145,132,NA,NA,NA,NA,NA,NA,NA,106
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,129,134,NA,NA,NA,NA,NA,NA,NA,106
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,153,139,NA,NA,NA,NA,NA,NA,NA,106
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,153,137,NA,69,50,27,31,45,101,106
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,149,134,NA,72,52,23,33,44,105,106
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,,127,NA,NA,NA,NA,NA,NA,NA,107
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,136,132,NA,NA,NA,NA,NA,NA,NA,107
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,,133,NA,NA,NA,NA,NA,NA,NA,107
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,141,134,NA,NA,NA,NA,NA,NA,NA,107
1,histw,B,MORANT 1931,Anglais London Spitalfields,191,144,137,NA,NA,NA,NA,NA,NA,NA,107
1,histw,B,MORANT 1931,Anglais London Spitalfields,194,139,139,NA,NA,NA,NA,NA,NA,NA,107
2,histw,B,MORANT 1931,Anglais London Spitalfields,177,131,,NA,67,49,21,NA,NA,NA,107
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,195,134,126,NA,73,51,NA,38,45,96,107
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,132,133,NA,71,52,24,36,47,102,107
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,NA,NA,NA,71,51,25,34,43,106,107
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,137,138,NA,NA,52,27,31,44,NA,108
