SEX,pop,geog,BIBLIO,POPUL,GOL,XCB,BBH,ZYB,NPH,NLH,NLB,OBH,OBB,BPL,BNL
1,histw,B,MORANT 1931,Anglais London Spitalfields,187,,136,126,70,51,26,32,42,101,106
1,histw,B,MORANT 1931,Anglais London Spitalfields,188,142,134,127,74,54,24,33,42,90,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,141,134,127,NA,50,22,34,41,NA,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,143,131,127,70,53,24,34,41,94,97
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,142,133,127,68,50,22,33,42,92,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,135,NA,127,74,51,24,32,42,96,99
2,histw,B,MORANT 1931,Anglais London Spitalfields,176,146,134,127,70,50,26,33,42,90,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,136,131,127,NA,NA,NA,NA,39,NA,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,141,,127,69,49,23,31,41,NA,
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,145,131,128,61,46,26,29,42,93,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,166,145,122,128,61,45,27,32,40,93,94
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,144,126,128,NA,49,23,33,42,NA,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,NA,124,128,68,52,23,31,43,96,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,134,135,128,66,50,25,32,42,99,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,187,135,133,128,72,53,25,35,44,99,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,192,,136,128,68,48,25,32,41,101,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,144,131,128,69,54,26,34,44,97,107
1,histw,B,MORANT 1931,Anglais London Spitalfields,173,145,125,128,NA,NA,NA,NA,NA,NA,
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,144,127,129,NA,NA,22,33,42,NA,93
1,histw,B,MORANT 1931,Anglais London Spitalfields,169,147,132,129,68,46,24,34,42,91,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,169,138,127,129,62,46,24,32,39,94,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,142,135,129,NA,NA,27,32,42,NA,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,145,135,129,68,51,21,33,43,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,187,151,133,129,NA,51,27,32,40,NA,101
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,NA,127,129,NA,46,25,33,43,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,143,135,129,NA,NA,22,37,43,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,NA,137,129,70,52,25,33,42,97,102
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,148,134,129,NA,50,NA,31,40,96,105
1,histw,B,MORANT 1931,Anglais London Spitalfields,171,135,,129,NA,NA,NA,NA,NA,NA,
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,146,128,129,NA,NA,NA,35,NA,NA,
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,183,141,124,131,74,55,25,39,47,90,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,,142,,131,66,50,26,35,42,94,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,,,131,62,49,25,33,42,96,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,133,125,131,74,53,27,36,44,96,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,141,129,131,NA,53,24,34,39,NA,96
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,141,139,131,74,50,26,33,41,99,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,196,148,137,131,74,52,25,37,44,97,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,172,142,133,131,NA,46,23,31,43,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,143,NA,131,72,52,26,34,44,96,105
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,144,138,131,66,48,26,31,42,104,107
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,145,NA,132,72,52,23,32,43,92,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,167,137,137,132,64,48,27,31,41,94,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,,133,132,70,51,27,32,43,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,138,137,132,62,46,25,31,40,87,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,145,142,132,60,46,23,30,42,96,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,145,NA,132,67,48,23,30,41,95,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,145,133,132,65,49,26,30,40,103,106
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,196,148,142,132,73,54,24,38,46,97,108
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,148,131,133,68,48,24,31,41,97,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,172,142,134,133,73,50,25,35,44,92,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,135,126,133,70,51,26,29,42,NA,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,137,132,133,63,50,24,34,41,91,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,NA,134,133,65,49,27,35,43,98,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,147,136,133,NA,NA,NA,37,NA,NA,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,135,137,133,72,52,24,36,46,NA,105
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,NA,134,134,74,54,28,35,41,92,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,144,131,134,NA,49,25,31,40,NA,93
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,143,129,134,71,51,24,38,45,85,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,196,145,137,134,NA,NA,NA,NA,NA,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,146,NA,134,72,51,24,33,43,96,104
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,138,136,134,67,51,27,32,45,105,106
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,141,136,135,68,53,24,34,45,96,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,171,144,127,135,70,50,27,35,41,85,94
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,138,137,135,65,50,33,31,44,92,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,141,136,135,70,52,24,34,43,95,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,188,136,139,135,72,52,24,33,43,98,101
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,NA,137,135,71,53,22,34,44,102,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,148,NA,135,73,52,25,35,42,96,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,138,133,135,72,52,23,32,41,97,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,192,137,138,135,66,51,25,31,44,97,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,144,,135,NA,48,NA,31,44,NA,
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,195,141,129,136,NA,NA,NA,NA,NA,NA,97
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,148,135,136,74,54,23,33,43,101,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,152,137,136,NA,NA,NA,NA,NA,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,188,147,139,136,70,51,24,33,44,94,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,146,137,136,NA,47,24,34,43,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,188,,143,136,72,52,23,34,42,94,107
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,145,NA,136,71,53,29,33,44,98,109
1,histw,B,MORANT 1931,Anglais London Spitalfields,179,,134,137,70,49,24,33,45,NA,97
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,149,134,137,72,52,23,34,45,97,97
1,histw,B,MORANT 1931,Anglais London Spitalfields,192,145,128,137,76,58,27,34,43,101,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,192,146,133,137,77,56,27,34,45,NA,108
1,histw,B,MORANT 1931,Anglais London Spitalfields,181,152,134,138,72,53,27,29,43,99,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,144,132,138,78,54,22,NA,44,94,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,NA,136,138,66,50,25,32,45,92,102
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,184,143,132,138,59,47,27,34,43,97,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,,146,127,138,NA,NA,NA,31,NA,NA,
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,193,138,129,139,75,53,28,34,44,94,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,NA,NA,139,73,54,23,35,42,92,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,177,148,144,139,NA,NA,25,31,42,NA,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,153,,139,71,50,26,32,44,102,103
1,histw,B,MORANT 1931,Anglais London Spitalfields,,,,139,NA,NA,27,NA,NA,90,
1,histw,B,MORANT 1931,Anglais London Spitalfields,,,,139,NA,NA,27,NA,NA,90,
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,151,139,141,NA,58,31,29,43,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,148,146,141,NA,55,23,32,45,NA,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,176,152,133,142,NA,NA,NA,33,43,NA,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,149,142,142,NA,47,30,30,46,NA,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,151,139,142,70,53,25,33,44,97,108
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,151,137,145,76,52,NA,35,45,97,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,146,126,NA,NA,45,24,34,42,NA,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,172,,128,NA,72,53,24,35,41,84,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,127,122,NA,72,51,23,35,42,91,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,176,141,134,NA,63,49,23,32,42,88,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,174,127,124,NA,70,50,21,34,41,91,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,132,126,NA,75,52,27,34,41,94,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,176,145,133,NA,70,50,22,32,42,92,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,142,126,NA,68,49,23,30,46,101,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,137,123,NA,73,57,19,40,46,94,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,188,143,131,NA,69,51,23,32,44,101,102
1,histw,B,MORANT 1931,Anglais London Spitalfields,183,139,136,NA,72,52,25,33,42,96,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,146,135,NA,72,52,25,35,47,97,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,151,138,NA,73,50,27,30,43,105,104
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,141,NA,NA,NA,NA,NA,NA,NA,NA,
1,histw,B,MORANT 1931,Anglais London Spitalfields,176,145,,NA,72,51,25,33,40,NA,
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,,143,,NA,73,50,22,34,42,NA,
1,histw,B,MORANT 1931,Anglais London Spitalfields,184,155,,NA,69,51,27,35,45,NA,
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,174,139,,NA,NA,NA,NA,NA,NA,NA,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,169,133,NA,NA,62,46,23,33,42,86,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,171,136,126,NA,58,41,22,29,39,88,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,181,138,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,137,119,NA,NA,NA,NA,NA,NA,NA,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,167,148,125,NA,NA,NA,NA,NA,NA,NA,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,NA,127,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,173,146,131,NA,NA,NA,NA,NA,NA,NA,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,129,132,NA,NA,NA,NA,NA,NA,NA,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,137,132,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,187,146,133,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,146,135,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,142,137,NA,NA,NA,NA,NA,NA,NA,NA
1,histw,B,MORANT 1931,Anglais London Spitalfields,178,153,137,NA,NA,NA,NA,NA,NA,NA,NA
